"id","uid","time","longitude","latitude","speed","accuracy"
"9285e5fd-1b8a-4b8a-8e0f-2110b50268a1","bUp7WizH8L","2021-12-22 06:22:16",-76.1971591,42.1974151,0.33988544,9.625
"ac126113-68bd-4edb-b40c-5f8a0a9a3927","bUp7WizH8L","2021-12-19 08:46:12",-78.7958415,42.9994383,0.049826805,8.416
"6bca7f5d-6453-470c-b422-6276a2ddc8e0","bUp7WizH8L","2021-12-16 16:27:00",-78.7958131,42.999386,6.8212605e-24,4.157
"295e3303-7e51-4398-9aae-ecfd5e16f2ae","bUp7WizH8L","2021-12-15 05:21:37",-78.7958396,42.9994299,0,13.665
"7ba5e22e-af16-4ee6-b38d-beb842182a5a","bUp7WizH8L","2021-12-14 04:57:01",-78.7958329,42.9994274,0,12.147
"5dc79a18-5ac2-439c-a4ef-81d08f1c3624","bUp7WizH8L","2021-12-19 02:44:31",-78.795844,42.9994224,0,13.278
"2f41de01-daf2-4191-af71-4a14d93f2f53","bUp7WizH8L","2021-12-19 06:14:31",-78.7958552,42.9994005,0.17951518,9.1
"2747b743-24d5-434e-bbe1-58f64126d723","bUp7WizH8L","2021-12-15 03:06:45",-78.7958488,42.9994349,0,13.143
"c1d08be3-d2d5-4e1c-8143-7ec95dacbead","bUp7WizH8L","2021-12-17 05:26:37",-78.795833,42.999422,0,11.688
"98aa9856-d2f4-4598-a6c8-317568e92657","bUp7WizH8L","2021-12-16 23:11:37",-78.7957945,42.9993901,0,14.143
"0a7d0e7e-eff0-4a1e-a2a5-7f9655c2b4b8","bUp7WizH8L","2021-12-15 01:36:51",-78.7957943,42.9994381,0,12.279
"89a92236-465f-4d73-983d-993e526ae447","bUp7WizH8L","2021-12-22 15:05:37",-76.1971948,42.1973126,0,20.12
"6393b846-ba8b-49a1-95f4-774cd5d9af11","bUp7WizH8L","2021-12-21 20:21:21",-76.1972009,42.1973199,4.1855884e-23,4.946
"5d34d110-3e05-4463-8919-5e9df7ba25b1","bUp7WizH8L","2021-12-15 13:51:45",-78.7958245,42.9994291,0,12.527
"159e65cb-1f02-4d4e-b102-b4e5cb9ed4d1","bUp7WizH8L","2021-12-16 03:16:45",-78.7958389,42.9994243,0,12.256
"0b43af2a-130c-4272-8d03-2eaae334a1a5","bUp7WizH8L","2021-12-18 19:45:24",-78.795806,42.9994023,0,12.981
"c84dccc0-50a5-4f05-9a89-da24f4297e72","bUp7WizH8L","2021-12-21 05:21:42",-76.1969673,42.1973384,0.16,11.5
"4112fb06-2bb6-4cac-b538-2620825c2031","bUp7WizH8L","2021-12-14 14:53:42",-78.795849,42.9994339,0,13.148
"e97deeb8-5b0c-4bf6-a79e-4d87c958f278","bUp7WizH8L","2021-12-22 20:11:01",-76.1971907,42.19731,0,20.843
"f28b7b3a-ac31-48ba-b485-1193981ee95e","bUp7WizH8L","2021-12-22 23:16:12",-76.1972171,42.1973084,0,26.67
"17757107-37bf-4f13-ba41-0bce66755139","bUp7WizH8L","2021-12-17 09:25:24",-78.7958251,42.9994149,0.17,13.5
"20b7a9bd-edad-417d-b02a-543735c0911d","bUp7WizH8L","2021-12-21 19:56:00",-76.1972009,42.1973199,4.1855884e-23,4.946
"84362f20-617b-4422-b535-06c3d9890072","bUp7WizH8L","2021-12-15 05:36:37",-78.7958355,42.9994361,0,12.975
"f0fb37b1-ddc5-4176-9165-fb3cc3f035ae","bUp7WizH8L","2021-12-14 21:12:24",-78.8218666,43.000008,0,13.237
"4968d9c1-4382-423e-987c-57cb2cee6b7a","bUp7WizH8L","2021-12-22 01:36:00",-76.1972053,42.197395,1.5744029e-16,4.125
"67900327-2b5e-4b36-889d-bebb5c0f6266","bUp7WizH8L","2021-12-13 13:06:36",-78.7957673,42.9994371,0.02502064,3.25
"4b201075-b757-43b2-ae54-2397f3e44c95","bUp7WizH8L","2021-12-16 04:31:41",-78.7958389,42.9994243,0,12.256
"d26e16af-a80e-43e9-bc91-090e58c6746d","bUp7WizH8L","2021-12-21 21:06:27",-76.1972017,42.1973117,0,20
"f7b8156d-bc71-4297-9a5e-5afc1917120b","bUp7WizH8L","2021-12-21 23:50:34",-76.1972056,42.197312,0,20.774
"420dabd0-5dc3-4574-a292-521cffb12897","bUp7WizH8L","2021-12-22 19:29:27",-76.1971907,42.19731,0,20.843
"56c84ab3-4a75-4f50-a7cf-76af7310ac47","bUp7WizH8L","2021-12-14 06:41:36",-78.7958394,42.9994235,0,12.829
"7e90eecb-988e-4c59-a9df-17c59776c953","bUp7WizH8L","2021-12-18 20:03:19",-78.795806,42.9994023,0,12.981
"28ce5c22-d476-4ca9-af45-b7c8554a4fb8","bUp7WizH8L","2021-12-21 20:03:39",-76.1972009,42.1973199,4.1855884e-23,4.946
"7ce28d35-d0ce-43cf-bb93-fc8c86887b9a","bUp7WizH8L","2021-12-14 08:12:00",-78.7958744,42.9994287,0.1425061,9
"7af24a44-d0e6-4a76-80ee-6a5ba5cdcaa9","bUp7WizH8L","2021-12-15 03:36:37",-78.7958396,42.9994299,0,13.665
"46fb0391-bbf5-4794-a7e8-e8de9219119b","bUp7WizH8L","2021-12-22 01:06:51",-76.1972053,42.197395,1.5744029e-16,4.125
"6a3bff50-3d6b-4e31-974e-f7cf3e018874","bUp7WizH8L","2021-12-15 15:22:14",-78.7958245,42.9994291,0,12.527
"a4365a50-2222-4a67-8816-dd2af7186150","bUp7WizH8L","2021-12-21 19:41:00",-76.1972009,42.1973199,4.1855884e-23,4.946
"0a55d054-97ea-4169-a79a-476b1c809ecb","bUp7WizH8L","2021-12-19 08:15:01",-78.7958468,42.9993823,0.0067016683,8.2
"ebbf2fcd-4c59-48fe-bcfc-747f5604a0a4","bUp7WizH8L","2021-12-15 13:36:36",-78.7958286,42.9994351,0,12.355
"b7f92f82-1720-42c2-a5a5-6b8f99131797","bUp7WizH8L","2021-12-21 15:40:41",-76.2620064,42.1076156,0,27.516
"edd1141b-1e59-49c9-909c-4ca2312acb68","bUp7WizH8L","2021-12-17 10:24:00",-78.7958311,42.9994165,0,12.841
"589d95a2-b809-433b-b7bd-73f1dbcd9fae","bUp7WizH8L","2021-12-16 00:36:24",-78.7958261,42.9994126,0,12.811
"af191719-abaf-4d74-8624-3b6b9c433f8d","bUp7WizH8L","2021-12-14 09:56:37",-78.7958744,42.9994287,0.1425061,9
"a629f5ba-655a-4a31-8ccd-38c44c060662","bUp7WizH8L","2021-12-16 18:56:51",-78.7958202,42.9994054,0,12.309
"d0015b09-f888-41b5-a521-d36e66193f60","bUp7WizH8L","2021-12-22 05:05:35",-76.1971636,42.1972823,0,27.455
"e09347ec-d61d-415a-84ef-dfd4c7bb37e8","bUp7WizH8L","2021-12-15 20:02:21",-78.8144199,42.9882979,0,104.1
"bfdf77c6-6d04-4f76-902c-03c7361c35fb","bUp7WizH8L","2021-12-16 05:46:36",-78.7958465,42.9994243,0,12.936
"6ba9c60a-6710-47b1-98a9-584cb232cfb3","bUp7WizH8L","2021-12-15 23:32:07",-78.7958244,42.9994098,0,12.379
"c75aa045-bd5d-4ad0-a2c3-5f30c1a7e2b0","bUp7WizH8L","2021-12-19 01:51:27",-78.795844,42.9994224,0,13.278
"0109987e-c4a1-43ba-9717-d1c8eadee1bb","bUp7WizH8L","2021-12-14 16:27:44",-78.795849,42.9994339,0,13.148
"ad877f62-2930-4101-af35-6f41696dd63a","bUp7WizH8L","2021-12-15 22:22:40",-78.795848,42.9994229,0,11.553
"6bbad121-5a6a-4fd4-90e7-c273ecd08de4","bUp7WizH8L","2021-12-21 06:22:50",-76.1973067,42.197367,0.1413636,8.4
