"uid","time","longitude","latitude","speed","accuracy"
"nnziInMDTH","2022-03-13 20:51:48",-77.6471659,43.1781589,0,20
"nnziInMDTH","2022-03-13 21:59:15",-77.6471642,43.1781586,0,20
"nnziInMDTH","2022-03-13 22:40:46",-77.9401325,43.0751715,0,800
"nnziInMDTH","2022-03-12 10:45:23",-78.8515352,42.9824449,0,1600
"nnziInMDTH","2022-03-12 19:56:10",-77.5656628,43.1884465,0,41.844
"nnziInMDTH","2022-03-12 21:23:35",-77.5655985,43.1884985,0,43.947
"nnziInMDTH","2022-03-12 18:39:43",-77.5657436,43.1884545,0,17.289
"nnziInMDTH","2022-03-13 08:44:26",-77.5657415,43.1884515,0,29.543
"nnziInMDTH","2022-03-12 19:28:51",-77.5657265,43.1884859,0,41.968
"nnziInMDTH","2022-03-13 12:39:23",-77.5654165,43.1884275,0,29.179
"nnziInMDTH","2022-03-12 20:59:30",-77.5657449,43.1884933,0,40.434
"nnziInMDTH","2022-03-13 20:21:02",-77.6471652,43.1781581,0,20
"nnziInMDTH","2022-03-13 18:53:57",-77.6471656,43.1781589,0,20
"nnziInMDTH","2022-03-12 11:38:33",-78.2798336,43.0159396,0,2663
"nnziInMDTH","2022-03-11 16:42:59",-78.8647423,42.9841137,0,13.806
"nnziInMDTH","2022-03-12 19:13:50",-77.5657142,43.188434,0,31.817
"nnziInMDTH","2022-03-12 20:06:10",-77.5656628,43.1884465,0,41.844
"nnziInMDTH","2022-03-13 21:22:58",-77.6471703,43.1781618,0,20
"nnziInMDTH","2022-03-12 15:17:35",-77.5656959,43.188492,0,32.932
"nnziInMDTH","2022-03-13 19:11:18",-77.647166,43.1781585,0,20
"nnziInMDTH","2022-03-13 12:19:33",-77.5654757,43.1882742,0.006157757,3.763
"nnziInMDTH","2022-03-12 15:56:20",-77.5655523,43.1884645,0,41.215
"nnziInMDTH","2022-03-13 11:15:55",-77.565731912929,43.1884472541494,0,12592.371
"nnziInMDTH","2022-03-13 10:01:24",-77.565719,43.1885172,0,47.299
"nnziInMDTH","2022-03-13 20:49:48",-77.6471659,43.1781589,0,20
"nnziInMDTH","2022-03-14 01:10:57",-78.8647318,42.9841141,0,14.451
"nnziInMDTH","2022-03-11 18:29:11",-78.8647669,42.9841112,0,15.522
"nnziInMDTH","2022-03-13 13:19:12",-77.5657554,43.1884741,0,37.669
"nnziInMDTH","2022-03-13 21:48:34",-77.6471642,43.1781586,0,20
"nnziInMDTH","2022-03-13 18:23:12",-77.6471637,43.1781577,0,20
"nnziInMDTH","2022-03-12 04:23:24",-78.8647414,42.984121,0,15.479
"nnziInMDTH","2022-03-11 19:39:36",-78.864768,42.9841119,0,17.783
"nnziInMDTH","2022-03-12 02:50:18",-78.8647368,42.9841055,0,16.565
"nnziInMDTH","2022-03-13 21:53:15",-77.6471642,43.1781586,0,20
"nnziInMDTH","2022-03-13 14:08:46",-77.5657396,43.1884613,0,20
"nnziInMDTH","2022-03-12 21:48:59",-77.5657125,43.1884808,0,36.81
"nnziInMDTH","2022-03-11 21:49:57",-78.8647704,42.9841094,0,15.803
"nnziInMDTH","2022-03-12 17:26:33",-77.5657469,43.1884591,0,22.244
"nnziInMDTH","2022-03-12 20:48:09",-77.5657015,43.188461,0,42.558
"nnziInMDTH","2022-03-13 13:29:11",-77.5656508,43.1884392,0,46.521
"nnziInMDTH","2022-03-14 01:00:57",-78.8647318,42.9841141,0,14.451
"nnziInMDTH","2022-03-13 12:11:36",-77.5657565,43.1884441,0,37.087
"nnziInMDTH","2022-03-11 19:56:03",-78.8647833,42.9841095,0,17.654
"nnziInMDTH","2022-03-11 17:10:15",-78.8647617,42.9840876,0,14.867
"nnziInMDTH","2022-03-11 16:48:59",-78.8647423,42.9841137,0,13.806
"nnziInMDTH","2022-03-12 22:10:35",-77.5657451,43.1885038,0,39.89
"nnziInMDTH","2022-03-13 16:22:58",-77.6471679,43.1781614,0,20
"nnziInMDTH","2022-03-11 21:14:56",-78.864759,42.9840965,0,17.634
"nnziInMDTH","2022-03-13 19:36:06",-77.6471656,43.178158,0,20
"nnziInMDTH","2022-03-11 23:37:41",-78.8647308,42.9840847,0,16.456
"nnziInMDTH","2022-03-13 13:25:11",-77.5656508,43.1884392,0,46.521
"nnziInMDTH","2022-03-13 19:59:01",-77.6471653,43.1781578,0,20
"nnziInMDTH","2022-03-12 08:54:08",-78.8647366,42.9840888,0,16.079
"nnziInMDTH","2022-03-11 15:37:31",-78.78332,43.0090452,0,14.901
"nnziInMDTH","2022-03-11 17:24:36",-78.8647617,42.9840876,0,14.867
"nnziInMDTH","2022-03-12 21:28:52",-77.5655985,43.1884985,0,43.947
"nnziInMDTH","2022-03-13 13:48:37",-77.5656853,43.1885097,0,36.258
"nnziInMDTH","2022-03-12 21:58:51",-77.5656724,43.1885492,0,46.6
"nnziInMDTH","2022-03-13 22:06:06",-77.6471682,43.1781603,0,20
"nnziInMDTH","2022-03-12 15:02:01",-77.56557,43.1884589,0,37.081
"nnziInMDTH","2022-03-13 23:55:31",-78.8647636,42.9841016,0,15.011
"nnziInMDTH","2022-03-11 17:46:38",-78.8647334,42.9841167,0,15.162
"nnziInMDTH","2022-03-12 15:13:35",-77.5656959,43.188492,0,32.932
"nnziInMDTH","2022-03-13 21:25:47",-77.6471703,43.1781618,0,20
"nnziInMDTH","2022-03-11 14:52:44",-78.7861566,43.0012877,0,22.074
"nnziInMDTH","2022-03-11 15:30:53",-78.785632,43.0067047,0,18.367
"nnziInMDTH","2022-03-12 00:20:17",-78.8647592,42.9840865,0,16.412
"nnziInMDTH","2022-03-12 01:50:17",-78.8647399,42.9841312,0,12.814
"nnziInMDTH","2022-03-12 18:11:20",-77.5657496,43.1884523,0,68.4
"nnziInMDTH","2022-03-13 12:47:18",-77.5654165,43.1884275,0,29.179
"nnziInMDTH","2022-03-14 00:45:48",-78.864746,42.9841044,0,15.992
"nnziInMDTH","2022-03-12 13:11:56",-77.5654933,43.1882524,0.08262808,5.896
"nnziInMDTH","2022-03-13 13:29:57",-77.5656508,43.1884392,0,46.521
"nnziInMDTH","2022-03-12 01:50:32",-78.8647399,42.9841312,0,12.814
"nnziInMDTH","2022-03-13 21:01:57",-77.6471653,43.1781587,0.024894176,20
"nnziInMDTH","2022-03-12 20:00:10",-77.5656628,43.1884465,0,41.844
"nnziInMDTH","2022-03-13 14:54:26",-77.6471699,43.178159,0,20.9
"nnziInMDTH","2022-03-12 18:57:02",-77.5587252,43.2045377,0,22.032
"nnziInMDTH","2022-03-11 17:27:00",-78.8647836,42.984124,0,14.683
"nnziInMDTH","2022-03-12 21:38:58",-77.5657125,43.1884808,0,36.81
"nnziInMDTH","2022-03-13 09:39:32",-77.5657415,43.1884515,0,29.543
"nnziInMDTH","2022-03-13 22:25:47",-77.6471483,43.1781694,0,30
"nnziInMDTH","2022-03-12 13:41:40",-77.5657381,43.188451,0,27.151
"nnziInMDTH","2022-03-13 10:46:10",-77.5657879,43.1884717,0,38.249
"nnziInMDTH","2022-03-13 11:23:21",-77.5656734,43.1885757,0,59.107
"nnziInMDTH","2022-03-12 10:57:49",-78.864787,42.9840817,0,17.805
"nnziInMDTH","2022-03-13 00:14:00",-77.565732,43.1884482,0,24.439
"nnziInMDTH","2022-03-13 18:22:58",-77.6471637,43.1781577,0,20
"nnziInMDTH","2022-03-13 16:08:16",-77.6471679,43.1781614,0,20
"nnziInMDTH","2022-03-12 08:20:17",-78.8647321,42.9840926,0,17.977
"nnziInMDTH","2022-03-12 19:24:21",-77.5657265,43.1884859,0,41.968
"nnziInMDTH","2022-03-12 19:11:47",-77.5657115,43.1884244,0,30.502
"nnziInMDTH","2022-03-12 21:21:21",-77.5657516,43.1884845,0,38.729
"nnziInMDTH","2022-03-11 20:41:53",-78.8647306,42.9841221,0,17.282
"nnziInMDTH","2022-03-12 22:13:53",-77.5657451,43.1885038,0,39.89
"nnziInMDTH","2022-03-13 15:44:58",-77.6471667,43.1781596,0,20
"nnziInMDTH","2022-03-13 21:11:11",-77.6471653,43.1781587,0.024894176,20
"nnziInMDTH","2022-03-12 21:40:59",-77.5657125,43.1884808,0,36.81
"nnziInMDTH","2022-03-11 15:55:09",-78.8647224,42.9841101,0,15.251
"nnziInMDTH","2022-03-13 17:04:47",-77.6471672,43.1781635,0,20
"nnziInMDTH","2022-03-13 21:07:57",-77.6471653,43.1781587,0.024894176,20
"nnziInMDTH","2022-03-13 00:00:01",-77.565732,43.1884482,0,24.439
"nnziInMDTH","2022-03-12 22:29:05",-77.565741,43.1884596,0,24.397
"nnziInMDTH","2022-03-12 10:38:09",-78.8647284,42.9841254,0,15.738
"nnziInMDTH","2022-03-13 12:29:33",-77.5654757,43.1882742,0.006157757,3.763
"nnziInMDTH","2022-03-12 15:35:49",-77.5655454,43.1884624,0,36.101
"nnziInMDTH","2022-03-13 04:41:33",-77.5657415,43.1884515,0,29.543
"nnziInMDTH","2022-03-13 18:59:23",-77.6471699,43.1781616,0,20
"nnziInMDTH","2022-03-11 16:32:59",-78.8647423,42.9841137,0,13.806
"nnziInMDTH","2022-03-11 18:25:09",-78.8647541,42.9841234,0,16.407
"nnziInMDTH","2022-03-11 15:36:47",-78.7835424,43.0088594,0,15.959
"nnziInMDTH","2022-03-13 14:35:37",-77.6159911,43.1918637,0,482.684
"nnziInMDTH","2022-03-12 01:50:14",-78.8647325,42.9840782,0,15.446
"nnziInMDTH","2022-03-12 15:23:35",-77.5656959,43.188492,0,32.932
"nnziInMDTH","2022-03-11 14:26:31",-78.7882897,43.0003521,0,15.087
"nnziInMDTH","2022-03-12 23:44:00",-77.5657026,43.1884895,0,35.436
"nnziInMDTH","2022-03-12 18:26:40",-77.5656749,43.1885508,0,41.432
"nnziInMDTH","2022-03-11 17:46:54",-78.8647405,42.9842564,0.0072719264,3.977
"nnziInMDTH","2022-03-11 16:18:59",-78.8647362,42.9841222,0,13.58
"nnziInMDTH","2022-03-12 16:56:27",-77.5654615,43.1882389,0.42241204,26.131
"nnziInMDTH","2022-03-12 21:30:58",-77.5657125,43.1884808,0,36.81
"nnziInMDTH","2022-03-13 21:50:34",-77.6471642,43.1781586,0,20
"nnziInMDTH","2022-03-13 23:31:53",-78.8647418,42.9841074,0,15.224
"nnziInMDTH","2022-03-11 15:52:21",-78.8647224,42.9841101,0,15.251
"nnziInMDTH","2022-03-13 18:03:35",-77.6471692,43.1781602,0,20
"nnziInMDTH","2022-03-12 12:19:08",-77.5657494,43.1884739,0,38.142
"nnziInMDTH","2022-03-11 16:24:49",-78.8647362,42.9841222,0,13.58
"nnziInMDTH","2022-03-11 19:26:14",-78.8647324,42.9841176,0,17.314
"nnziInMDTH","2022-03-12 22:28:12",-77.565741,43.1884596,0,24.397
"nnziInMDTH","2022-03-12 19:40:11",-77.5657265,43.1884859,0,41.968
"nnziInMDTH","2022-03-12 15:21:35",-77.5656959,43.188492,0,32.932
"nnziInMDTH","2022-03-13 11:34:46",-77.5657463,43.1884563,0,20
"nnziInMDTH","2022-03-13 11:46:32",-77.5657492,43.1884502,0,15.206
"nnziInMDTH","2022-03-12 23:48:15",-77.565732,43.1884482,0,24.439
"nnziInMDTH","2022-03-13 20:40:47",-77.6471659,43.1781589,0,20
"nnziInMDTH","2022-03-13 12:27:33",-77.5654757,43.1882742,0.006157757,3.763
"nnziInMDTH","2022-03-13 16:18:50",-77.6471679,43.1781614,0,20
"nnziInMDTH","2022-03-13 16:49:33",-77.6471663,43.1781591,0,20
"nnziInMDTH","2022-03-11 14:37:29",-78.7877328,42.9998497,0,13.829
"nnziInMDTH","2022-03-12 22:00:35",-77.5657451,43.1885038,0,39.89
"nnziInMDTH","2022-03-13 14:06:07",-77.5657396,43.1884613,0,20
"nnziInMDTH","2022-03-12 18:26:47",-77.5656749,43.1885508,0,41.432
"nnziInMDTH","2022-03-13 12:06:34",-77.5657193,43.1885063,0,37.365
"nnziInMDTH","2022-03-11 15:27:21",-78.7924218,43.0057327,0,1899.999
"nnziInMDTH","2022-03-12 19:07:47",-77.5657115,43.1884244,0,30.502
"nnziInMDTH","2022-03-12 20:57:47",-77.5657449,43.1884933,0,40.434
"nnziInMDTH","2022-03-13 22:13:21",-77.6471682,43.1781603,0,20
"nnziInMDTH","2022-03-11 18:53:24",-78.8647444,42.9841184,0,16.958
"nnziInMDTH","2022-03-12 23:23:26",-77.5657026,43.1884895,0,35.436
"nnziInMDTH","2022-03-13 09:56:16",-77.565719,43.1885172,0,47.299
"nnziInMDTH","2022-03-12 14:46:47",-77.5656391,43.1885276,0,41.75
"nnziInMDTH","2022-03-12 22:36:12",-77.565741,43.1884596,0,24.397
"nnziInMDTH","2022-03-11 15:02:33",-78.7862621,43.0014407,0,12.046
"nnziInMDTH","2022-03-13 10:06:46",-77.5656483,43.1884584,0,40.528
"nnziInMDTH","2022-03-12 21:13:47",-77.5657516,43.1884845,0,38.729
"nnziInMDTH","2022-03-11 20:25:51",-78.8647365,42.9840889,0,15.431
"nnziInMDTH","2022-03-14 01:10:28",-78.8647318,42.9841141,0,14.451
"nnziInMDTH","2022-03-12 19:03:13",-77.5581277,43.2047594,0,69.4
"nnziInMDTH","2022-03-11 21:37:11",-78.8647656,42.9840879,0,17.046
"nnziInMDTH","2022-03-13 20:45:48",-77.6471659,43.1781589,0,20
"nnziInMDTH","2022-03-13 23:10:50",-78.3164747,43.0134448,0,2700
"nnziInMDTH","2022-03-12 10:17:31",-78.8647357,42.984114,0,13.756
"nnziInMDTH","2022-03-13 16:38:14",-77.6471689,43.1781606,0,20
"nnziInMDTH","2022-03-14 00:25:28",-78.8647787,42.9841222,0,15.265
"nnziInMDTH","2022-03-12 17:05:30",-77.5656991,43.1885479,0,41.932
"nnziInMDTH","2022-03-12 16:11:21",-77.5657692,43.1884811,0,40.664
"nnziInMDTH","2022-03-13 17:27:40",-77.6471621,43.1781501,0,17.293
"nnziInMDTH","2022-03-12 12:54:16",-77.5657433,43.1884496,0,15.779
"nnziInMDTH","2022-03-13 11:17:13",-77.5656734,43.1885757,0,59.107
"nnziInMDTH","2022-03-13 15:04:56",-77.6471631,43.178157,0,20
"nnziInMDTH","2022-03-12 23:28:36",-77.5657026,43.1884895,0,35.436
"nnziInMDTH","2022-03-12 10:19:37",-78.8647668,42.9840848,0,15.318
"nnziInMDTH","2022-03-13 20:31:57",-77.6471659,43.1781589,0,20
"nnziInMDTH","2022-03-12 17:41:53",-77.5655602,43.1882562,0.8172871,17.443
"nnziInMDTH","2022-03-12 22:59:00",-77.5656707,43.1884967,0,40.468
"nnziInMDTH","2022-03-12 19:50:08",-77.5654358,43.1884337,0,43.244
"nnziInMDTH","2022-03-12 17:12:08",-77.5658143,43.1884918,0,57.412
"nnziInMDTH","2022-03-12 07:20:17",-78.8647472,42.9840908,0,17.052
"nnziInMDTH","2022-03-13 12:58:59",-77.5657371,43.188454,0,22.119
